,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
23973,Operations,region_30,Master's & above,f,other,1,34,4.0,4,1,0,61,0
23974,Operations,region_13,Master's & above,f,sourcing,1,40,5.0,7,1,0,63,0
23975,Operations,region_22,Bachelor's,f,other,1,30,4.0,7,0,0,61,0
23976,Sales & Marketing,region_2,Master's & above,m,sourcing,5,46,1.0,19,0,1,49,0
23977,Finance,region_4,Master's & above,f,other,1,35,5.0,7,1,0,57,1
23978,HR,region_22,Bachelor's,f,other,1,29,2.0,5,0,0,48,0
23979,Operations,region_32,Bachelor's,f,other,1,26,3.0,2,1,0,64,0
23980,Analytics,region_22,Bachelor's,m,sourcing,1,29,3.0,3,1,0,89,0
23981,Sales & Marketing,region_25,Bachelor's,m,other,1,39,3.0,10,1,0,47,0
23982,Technology,region_22,Bachelor's,m,other,1,33,4.0,9,1,0,83,0
23983,Sales & Marketing,region_2,Bachelor's,m,other,1,38,5.0,8,1,0,47,0
23984,Legal,region_24,Bachelor's,m,sourcing,1,32,3.0,2,0,0,62,0
23985,HR,region_2,Master's & above,m,sourcing,1,57,5.0,7,0,0,55,0
23986,HR,region_7,Master's & above,m,other,1,41,3.0,6,0,0,52,0
23987,Sales & Marketing,region_23,Master's & above,m,sourcing,1,34,5.0,4,1,0,52,0
23988,Sales & Marketing,region_7,Bachelor's,m,sourcing,2,30,3.0,6,0,0,52,0
23989,Procurement,region_6,Bachelor's,m,other,1,27,1.0,1,0,0,67,0
23990,Sales & Marketing,region_25,Bachelor's,m,sourcing,1,33,5.0,7,1,0,47,0
23991,Technology,region_2,Master's & above,f,sourcing,1,35,1.0,9,0,0,74,0
23992,Analytics,region_22,Bachelor's,m,sourcing,3,28,4.0,2,0,0,81,0
23993,Procurement,region_2,Below Secondary,f,sourcing,2,23,3.0,2,0,0,72,0
23994,Operations,region_26,Bachelor's,f,sourcing,1,41,3.0,10,0,0,65,0
23995,Operations,region_22,Master's & above,m,other,1,45,5.0,12,0,0,54,0
23996,Analytics,region_15,Bachelor's,m,other,2,30,5.0,5,1,0,84,0
23997,Finance,region_32,Bachelor's,f,other,1,31,3.0,9,0,0,64,0
23998,Sales & Marketing,region_5,Bachelor's,m,sourcing,1,31,3.0,7,0,0,50,0
23999,HR,region_2,Master's & above,m,other,1,52,3.0,11,0,0,53,0
24000,Technology,region_2,Bachelor's,m,other,1,36,1.0,5,1,0,80,0
24001,Sales & Marketing,region_1,Master's & above,f,other,2,30,1.0,4,0,0,52,0
24002,Sales & Marketing,region_2,Bachelor's,m,other,1,25,3.0,4,0,0,53,0
24003,Sales & Marketing,region_25,Bachelor's,m,other,1,36,3.0,2,0,0,53,0
24004,Sales & Marketing,region_14,Bachelor's,m,other,2,38,5.0,9,1,0,48,0
24005,Operations,region_6,Bachelor's,f,sourcing,1,32,5.0,5,1,0,63,0
24006,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,47,1.0,5,0,0,53,0
24007,Technology,region_2,Master's & above,f,other,1,35,2.0,6,1,0,84,0
24008,HR,region_2,Bachelor's,f,sourcing,1,34,5.0,4,1,0,46,0
24009,Sales & Marketing,region_31,Bachelor's,m,sourcing,1,27,3.0,2,0,0,49,0
24010,Analytics,region_32,Bachelor's,m,sourcing,1,27,4.0,4,0,0,81,0
24011,Finance,region_27,Bachelor's,m,sourcing,1,24,5.0,2,1,0,58,0
24012,Procurement,region_2,Bachelor's,f,sourcing,1,26,1.0,1,0,0,72,0
24013,Sales & Marketing,region_27,Bachelor's,m,other,1,29,3.0,4,1,0,43,0
24014,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,41,1.0,13,0,0,49,0
24015,Finance,region_2,Bachelor's,m,other,1,32,2.0,1,0,0,59,0
24016,Analytics,region_27,Bachelor's,m,sourcing,2,26,4.0,4,1,0,85,0
24017,Sales & Marketing,region_2,Bachelor's,m,other,1,33,5.0,5,1,0,48,0
24018,Operations,region_31,Bachelor's,f,sourcing,1,32,4.0,6,0,0,58,0
24019,Technology,region_2,Bachelor's,m,sourcing,1,34,3.0,5,1,0,77,1
24020,Analytics,region_2,Bachelor's,m,sourcing,1,38,3.0,10,0,0,86,0
24021,Sales & Marketing,region_13,Master's & above,m,other,4,35,3.0,9,0,0,47,0
24022,Operations,region_2,Bachelor's,f,sourcing,1,33,5.0,6,1,0,61,0
24023,Technology,region_2,Bachelor's,f,other,2,33,5.0,3,1,0,81,0
24024,Sales & Marketing,region_4,Master's & above,m,other,2,50,1.0,19,0,0,46,0
24025,Sales & Marketing,region_26,Bachelor's,f,other,1,26,1.0,2,0,0,47,0
24026,Finance,region_11,Bachelor's,f,sourcing,1,30,4.0,2,1,0,61,0
24027,Finance,region_11,Bachelor's,m,other,1,30,5.0,4,1,0,64,1
24028,R&D,region_32,Bachelor's,m,sourcing,1,34,3.0,5,0,0,86,0
24029,Operations,region_13,Bachelor's,f,sourcing,1,33,5.0,7,1,0,62,0
24030,Procurement,region_7,Bachelor's,m,other,1,36,3.0,4,0,0,66,0
24031,Procurement,region_4,Master's & above,m,sourcing,1,36,5.0,3,1,0,72,0
24032,Technology,region_9,Bachelor's,f,other,1,28,3.0,4,1,0,81,0
24033,Technology,region_33,Bachelor's,f,other,1,26,4.0,3,0,0,80,0
24034,Operations,region_2,Bachelor's,m,sourcing,1,33,2.0,8,0,0,63,0
24035,Procurement,region_2,Bachelor's,f,sourcing,1,46,4.0,20,0,0,70,0
24036,Sales & Marketing,region_20,Bachelor's,m,other,1,39,2.0,7,0,0,49,0
24037,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,27,3.0,3,0,0,52,0
24038,Technology,region_31,Bachelor's,m,sourcing,1,37,4.0,7,1,0,79,0
24039,Operations,region_7,Bachelor's,f,sourcing,1,31,5.0,6,1,0,59,0
24040,Analytics,region_4,Master's & above,m,other,2,36,4.0,7,0,0,86,0
24041,Sales & Marketing,region_22,Bachelor's,m,other,2,25,1.0,3,1,0,46,0
24042,Sales & Marketing,region_20,Bachelor's,m,other,2,29,2.0,6,0,0,51,0
24043,Technology,region_7,Master's & above,m,sourcing,1,33,2.0,7,0,0,77,0
24044,Sales & Marketing,region_2,Master's & above,m,other,4,38,4.0,7,0,0,54,0
24045,Finance,region_2,Bachelor's,m,sourcing,1,40,5.0,6,1,0,55,0
24046,Operations,region_2,Bachelor's,m,sourcing,1,40,3.0,8,1,0,58,1
24047,Analytics,region_28,Master's & above,m,other,1,33,3.0,7,1,0,89,1
24048,Sales & Marketing,region_17,Bachelor's,m,other,2,36,5.0,7,1,0,50,0
24049,Operations,region_2,Master's & above,m,other,1,36,2.0,8,0,1,64,0
24050,Analytics,region_11,Bachelor's,m,other,3,26,3.0,2,1,0,85,0
24051,HR,region_15,Bachelor's,m,other,1,33,3.0,10,0,0,53,0
24052,Finance,region_28,Master's & above,m,sourcing,1,31,4.0,4,0,1,57,0
24053,Procurement,region_17,Bachelor's,f,sourcing,1,28,2.0,5,0,0,71,0
24054,Operations,region_15,Bachelor's,f,sourcing,1,25,3.0,3,0,0,61,0
24055,Technology,region_5,Bachelor's,f,other,1,40,3.0,11,0,0,77,0
24056,Analytics,region_7,Bachelor's,m,other,1,36,5.0,3,0,0,85,0
24057,Technology,region_16,Bachelor's,m,other,2,32,3.0,6,0,1,81,0
24058,Operations,region_17,Bachelor's,m,other,1,36,1.0,10,0,0,55,0
24059,Technology,region_31,Bachelor's,f,other,1,31,5.0,6,0,0,92,1
24060,Sales & Marketing,region_15,Bachelor's,m,other,1,32,4.0,7,0,0,50,0
24061,Procurement,region_34,Master's & above,m,other,1,38,3.0,6,0,0,73,0
24062,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,41,2.0,14,0,0,50,0
24063,Technology,region_20,Master's & above,m,other,2,38,1.0,6,0,0,83,0
24064,Sales & Marketing,region_2,Master's & above,m,other,1,49,1.0,15,0,0,63,1
24065,Sales & Marketing,region_14,Bachelor's,m,other,1,23,1.0,1,0,0,48,0
24066,Procurement,region_29,Bachelor's,m,sourcing,2,36,5.0,6,1,0,68,0
24067,Procurement,region_16,Bachelor's,f,other,3,31,1.0,1,0,0,65,0
24068,Analytics,region_7,Bachelor's,m,sourcing,2,42,5.0,13,0,0,85,0
24069,R&D,region_22,Bachelor's,m,other,2,32,5.0,6,0,0,85,0
24070,Procurement,region_2,Master's & above,f,other,1,42,5.0,5,1,0,69,0
24071,Procurement,region_22,Bachelor's,m,other,2,29,4.0,3,1,0,71,0
24072,Sales & Marketing,region_7,Bachelor's,m,other,1,40,4.0,5,1,0,51,0
24073,Operations,region_3,Bachelor's,m,sourcing,1,26,3.0,3,1,0,57,0
24074,HR,region_2,Bachelor's,m,other,1,42,3.0,12,0,0,52,0
24075,Finance,region_32,Bachelor's,m,other,1,31,2.0,2,0,0,73,1
24076,Procurement,region_2,Below Secondary,m,sourcing,1,24,1.0,1,1,0,68,0
24077,Operations,region_2,Bachelor's,m,other,1,50,3.0,4,1,0,61,0
24078,HR,region_2,Master's & above,m,sourcing,1,50,4.0,12,0,0,50,0
24079,Legal,region_2,Bachelor's,m,other,3,43,2.0,6,1,0,61,0
24080,Sales & Marketing,region_25,Bachelor's,m,other,1,29,1.0,1,0,0,50,0
24081,Sales & Marketing,region_8,Bachelor's,m,other,1,27,1.0,1,0,0,48,0
24082,R&D,region_14,Bachelor's,m,sourcing,1,35,4.0,7,0,0,89,0
24083,Legal,region_12,Bachelor's,m,other,1,35,5.0,7,1,0,59,0
24084,Technology,region_11,Bachelor's,m,other,1,26,2.0,3,0,0,81,0
24085,Procurement,region_4,Bachelor's,f,other,2,38,5.0,5,1,0,70,0
24086,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,40,3.0,5,1,0,52,0
24087,Operations,region_22,Master's & above,f,other,1,33,4.0,4,1,0,54,0
24088,Sales & Marketing,region_2,Master's & above,m,other,1,35,4.0,6,0,0,61,1
24089,Technology,region_33,Master's & above,m,other,1,32,2.0,5,1,0,82,0
24090,Finance,region_27,Bachelor's,f,other,1,29,1.0,1,0,0,72,1
24091,Legal,region_7,Bachelor's,m,sourcing,1,39,3.0,10,0,0,64,0
24092,Sales & Marketing,region_7,Bachelor's,m,other,1,31,5.0,3,0,0,48,0
24093,Sales & Marketing,region_2,Bachelor's,m,other,2,33,4.0,6,0,0,50,0
24094,Procurement,region_24,Bachelor's,m,other,1,26,3.0,2,1,0,67,0
24095,Technology,region_13,Bachelor's,m,other,1,35,2.0,2,0,0,80,0
24096,Procurement,region_8,Master's & above,m,sourcing,1,38,5.0,5,1,0,66,0
24097,HR,region_7,Bachelor's,f,other,1,28,4.0,5,1,0,50,0
24098,Operations,region_26,Master's & above,m,sourcing,1,42,5.0,7,1,0,61,0
24099,Sales & Marketing,region_34,Bachelor's,m,other,1,33,3.0,10,0,0,48,0
24100,Sales & Marketing,region_26,Master's & above,m,sourcing,1,41,3.0,11,0,0,45,0
24101,Finance,region_2,Bachelor's,m,sourcing,4,39,3.0,12,0,0,58,0
24102,Finance,region_26,Bachelor's,m,sourcing,2,33,4.0,6,0,1,57,0
24103,Sales & Marketing,region_13,Bachelor's,m,other,1,40,5.0,3,0,0,49,0
24104,Sales & Marketing,region_12,Bachelor's,f,other,2,26,1.0,1,0,0,50,0
24105,Sales & Marketing,region_22,Bachelor's,m,other,1,29,3.0,3,1,0,49,0
24106,Technology,region_4,Bachelor's,f,other,1,32,4.0,3,1,0,82,0
24107,Sales & Marketing,region_13,Master's & above,m,other,1,44,5.0,16,1,0,49,0
24108,R&D,region_2,Bachelor's,f,other,1,34,3.0,7,0,0,82,0
24109,HR,region_2,Bachelor's,f,other,1,41,3.0,6,1,0,50,0
24110,Operations,region_8,Master's & above,f,sourcing,1,39,5.0,9,1,0,60,0
24111,Operations,region_11,Bachelor's,m,other,1,32,5.0,6,1,0,58,0
24112,Legal,region_2,Bachelor's,m,other,1,28,5.0,2,1,0,59,0
24113,Technology,region_31,Bachelor's,m,other,1,36,2.0,10,0,0,81,0
24114,Analytics,region_22,Bachelor's,m,sourcing,3,28,2.0,2,0,0,78,0
24115,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,48,3.0,4,1,0,54,0
24116,Analytics,region_2,Bachelor's,m,other,2,26,5.0,2,1,0,83,0
24117,Sales & Marketing,region_2,Bachelor's,m,other,1,31,5.0,4,0,0,51,0
24118,Analytics,region_28,Bachelor's,m,other,2,35,3.0,4,0,0,87,0
24119,Sales & Marketing,region_22,Master's & above,f,other,1,31,4.0,4,1,0,53,0
24120,Analytics,region_13,Bachelor's,m,other,1,27,3.0,3,0,0,87,0
24121,Procurement,region_16,Master's & above,f,sourcing,1,39,5.0,10,1,0,70,0
24122,Technology,region_2,Master's & above,f,other,1,32,5.0,2,1,0,78,0
24123,Technology,region_23,Bachelor's,m,other,1,25,1.0,2,0,0,79,0
24124,Operations,region_5,Bachelor's,m,other,1,30,1.0,2,0,0,59,0
24125,Finance,region_22,Bachelor's,m,sourcing,1,27,1.0,3,1,0,55,0
24126,Sales & Marketing,region_7,Bachelor's,m,referred,1,33,3.0,9,1,0,50,0
24127,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,46,3.0,6,0,0,53,0
24128,Sales & Marketing,region_24,Master's & above,m,sourcing,1,40,3.0,4,1,0,52,0
24129,Operations,region_2,Master's & above,m,referred,1,39,5.0,5,0,0,71,1
24130,Analytics,region_22,Master's & above,m,sourcing,1,29,4.0,4,0,0,84,0
24131,HR,region_2,Master's & above,f,sourcing,1,59,4.0,19,0,0,63,1
24132,Sales & Marketing,region_7,Bachelor's,m,other,1,40,4.0,6,1,0,46,0
24133,Technology,region_2,Bachelor's,f,other,1,54,3.0,5,0,0,78,0
24134,Operations,region_2,Bachelor's,m,other,1,44,5.0,15,0,0,58,0
24135,Procurement,region_2,Bachelor's,m,other,1,28,5.0,2,1,0,69,0
24136,Technology,region_22,Master's & above,m,sourcing,1,57,1.0,4,0,0,80,0
24137,Technology,region_3,Bachelor's,f,sourcing,1,30,2.0,7,0,0,80,0
24138,Procurement,region_28,Master's & above,m,sourcing,2,32,2.0,3,0,0,67,0
24139,Technology,region_23,Master's & above,m,sourcing,1,33,5.0,7,1,0,80,1
24140,Procurement,region_7,Master's & above,m,other,1,38,5.0,12,0,0,92,1
24141,Procurement,region_2,Bachelor's,m,sourcing,1,50,3.0,4,1,1,69,0
24142,Sales & Marketing,region_9,Master's & above,m,other,1,29,3.0,4,0,0,66,1
24143,Sales & Marketing,region_19,Bachelor's,m,other,2,34,1.0,7,0,0,48,0
24144,Sales & Marketing,region_12,Bachelor's,f,sourcing,1,26,1.0,2,0,0,45,0
24145,R&D,region_22,Bachelor's,m,sourcing,1,30,1.0,1,1,1,88,1
24146,Procurement,region_2,Bachelor's,m,sourcing,1,42,5.0,8,1,0,70,0
24147,Finance,region_2,Below Secondary,f,sourcing,1,24,3.0,2,0,0,61,0
24148,Operations,region_22,Bachelor's,m,other,1,34,5.0,9,1,0,59,1
24149,Sales & Marketing,region_22,Bachelor's,f,other,1,31,1.0,3,0,0,50,0
24150,Technology,region_2,Bachelor's,f,sourcing,1,26,4.0,2,0,0,82,0
24151,Technology,region_11,Bachelor's,m,other,1,35,2.0,10,0,0,83,0
24152,Sales & Marketing,region_27,Master's & above,f,other,1,32,3.0,6,0,0,49,0
24153,Procurement,region_17,Master's & above,f,sourcing,1,44,3.0,6,0,0,69,0
24154,Operations,region_22,Bachelor's,m,other,1,37,4.0,7,0,0,58,0
24155,Analytics,region_27,Bachelor's,m,sourcing,1,35,5.0,2,1,0,77,0
24156,Sales & Marketing,region_2,Bachelor's,f,other,1,55,3.0,7,0,0,49,0
24157,HR,region_7,Below Secondary,f,other,1,26,1.0,1,1,0,49,0
24158,Analytics,region_2,Bachelor's,m,sourcing,1,26,2.0,5,0,0,80,0
24159,Technology,region_13,Master's & above,m,sourcing,1,35,4.0,10,1,0,82,1
24160,Technology,region_2,Bachelor's,f,other,2,32,3.0,10,0,0,78,0
24161,Technology,region_10,Master's & above,f,sourcing,1,40,4.0,6,1,0,77,0
24162,Analytics,region_29,Bachelor's,m,other,1,33,5.0,7,1,0,84,0
24163,Procurement,region_13,Bachelor's,m,sourcing,1,30,1.0,3,1,0,71,0
24164,Sales & Marketing,region_31,Bachelor's,m,other,1,24,1.0,1,0,0,50,0
24165,Operations,region_27,Bachelor's,f,sourcing,3,29,5.0,3,1,0,63,0
24166,Procurement,region_6,Bachelor's,f,sourcing,1,27,3.0,2,0,0,69,0
24167,HR,region_2,Bachelor's,m,sourcing,1,49,4.0,7,0,0,50,0
24168,Finance,region_2,Bachelor's,f,other,2,33,1.0,7,0,0,58,0
24169,Operations,region_22,Master's & above,m,other,1,51,1.0,5,0,0,59,0
24170,Procurement,region_19,Master's & above,f,sourcing,1,37,3.0,5,0,0,68,0
24171,Sales & Marketing,region_16,Bachelor's,m,other,2,26,4.0,4,0,0,43,0
24172,Sales & Marketing,region_23,Bachelor's,m,sourcing,1,26,4.0,2,0,0,53,0
24173,Procurement,region_2,Bachelor's,m,sourcing,1,57,3.0,18,0,0,67,0
24174,Technology,region_22,Master's & above,m,sourcing,2,39,2.0,5,0,0,79,0
24175,Operations,region_16,Bachelor's,m,other,2,33,3.0,3,1,0,62,0
24176,Sales & Marketing,region_21,Bachelor's,m,sourcing,2,34,3.0,10,0,0,50,0
24177,Sales & Marketing,region_2,Bachelor's,m,other,1,42,2.0,11,0,0,48,0
24178,Sales & Marketing,region_2,Master's & above,m,other,1,31,2.0,7,0,0,53,0
24179,Technology,region_2,Master's & above,m,sourcing,1,43,4.0,14,1,0,77,0
24180,Operations,region_14,Master's & above,m,other,1,36,2.0,2,1,0,55,0
24181,Sales & Marketing,region_15,Bachelor's,m,other,1,32,3.0,6,0,0,54,0
24182,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,36,4.0,8,0,0,48,0
24183,Technology,region_27,Bachelor's,m,other,1,34,4.0,7,1,0,77,0
24184,Sales & Marketing,region_31,Bachelor's,f,sourcing,1,29,2.0,2,0,0,49,0
24185,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,31,1.0,4,0,0,49,0
24186,Sales & Marketing,region_22,Bachelor's,m,other,1,51,3.0,4,0,0,49,0
24187,Technology,region_7,Bachelor's,m,sourcing,1,32,5.0,3,0,0,78,0
24188,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,39,5.0,2,1,0,51,0
24189,Procurement,region_21,Bachelor's,m,other,1,46,3.0,4,0,0,70,0
24190,Sales & Marketing,region_2,Master's & above,m,other,1,30,1.0,4,0,0,50,0
24191,Operations,region_31,Bachelor's,m,sourcing,1,41,5.0,5,0,0,58,0
24192,Sales & Marketing,region_24,Bachelor's,m,sourcing,1,32,3.0,7,0,0,49,0
24193,R&D,region_4,Master's & above,m,other,1,36,3.0,2,1,0,87,0
24194,Operations,region_2,Bachelor's,f,sourcing,1,30,1.0,1,0,0,58,0
24195,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,31,3.0,6,0,0,49,0
24196,Operations,region_26,Bachelor's,m,sourcing,1,33,3.0,4,0,0,58,0
24197,Sales & Marketing,region_11,Bachelor's,m,other,4,30,3.0,5,0,0,49,0
24198,Technology,region_7,Bachelor's,m,other,3,48,3.0,16,0,0,78,0
24199,Operations,region_27,Bachelor's,m,other,2,27,3.0,3,0,0,65,0
24200,Procurement,region_2,Bachelor's,m,other,1,30,3.0,6,1,0,73,0
24201,Analytics,region_16,Bachelor's,m,other,1,38,3.0,9,0,0,83,0
24202,HR,region_7,Bachelor's,f,other,1,32,5.0,5,0,0,47,0
24203,Sales & Marketing,region_15,Bachelor's,m,other,1,41,2.0,6,0,0,48,0
24204,Sales & Marketing,region_13,Bachelor's,f,other,1,36,3.0,3,0,0,50,0
24205,Technology,region_7,Master's & above,m,sourcing,1,35,5.0,3,0,0,77,0
24206,Procurement,region_33,Bachelor's,m,other,1,31,3.0,3,0,0,71,0
24207,Operations,region_28,Bachelor's,f,other,1,29,1.0,1,1,0,59,0
24208,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,33,3.0,8,0,0,54,0
24209,Sales & Marketing,region_22,Bachelor's,m,other,2,36,3.0,8,0,0,50,0
24210,Operations,region_16,Bachelor's,f,other,1,34,4.0,7,0,0,62,0
24211,Operations,region_15,Bachelor's,m,other,1,39,2.0,3,1,0,58,0
24212,Sales & Marketing,region_22,Bachelor's,m,other,1,24,1.0,1,1,0,50,0
24213,Technology,region_12,Master's & above,m,other,1,33,3.0,7,1,0,76,0
24214,Sales & Marketing,region_15,Bachelor's,m,other,1,28,4.0,2,0,0,47,0
24215,Procurement,region_10,Master's & above,m,other,1,38,4.0,10,1,0,65,0
24216,Finance,region_26,Bachelor's,m,other,1,28,3.0,3,1,0,62,0
24217,Operations,region_31,Bachelor's,m,sourcing,1,34,5.0,3,1,0,59,0
24218,Procurement,region_2,Bachelor's,m,sourcing,1,36,3.0,3,0,0,73,0
24219,Procurement,region_4,Master's & above,m,sourcing,2,42,4.0,6,1,1,72,0
24220,HR,region_7,Master's & above,f,other,1,33,4.0,5,1,0,48,1
24221,Sales & Marketing,region_13,Bachelor's,m,other,1,40,5.0,4,0,0,50,0
24222,Operations,region_12,Bachelor's,f,other,1,31,3.0,4,1,0,61,1
24223,Analytics,region_13,Bachelor's,m,sourcing,1,34,5.0,5,0,0,84,0
24224,Operations,region_33,Bachelor's,m,other,1,38,4.0,2,1,0,62,0
24225,Sales & Marketing,region_22,Bachelor's,f,sourcing,1,25,5.0,3,0,0,48,0
24226,Technology,region_2,Bachelor's,m,other,2,27,3.0,4,0,0,77,0
24227,Technology,region_2,Below Secondary,m,other,2,24,1.0,1,1,0,80,1
24228,Analytics,region_26,Bachelor's,m,other,1,27,4.0,4,0,0,81,0
24229,HR,region_27,Bachelor's,m,other,1,33,3.0,3,1,0,52,0
24230,Operations,region_13,Bachelor's,f,sourcing,1,36,3.0,4,1,0,61,0
24231,Analytics,region_19,Bachelor's,m,other,2,34,4.0,3,1,0,81,0
24232,Operations,region_22,Master's & above,m,other,1,32,3.0,2,0,0,60,0
24233,Operations,region_6,Bachelor's,m,other,1,30,5.0,2,1,0,65,0
24234,Sales & Marketing,region_25,Master's & above,m,sourcing,1,33,3.0,4,0,0,49,0
24235,Finance,region_2,Master's & above,f,sourcing,1,33,3.0,5,1,0,61,0
24236,Operations,region_2,Master's & above,m,other,1,31,4.0,7,0,0,59,0
24237,Sales & Marketing,region_2,Master's & above,m,other,1,43,4.0,16,0,0,48,0
24238,Sales & Marketing,region_28,Bachelor's,m,other,1,40,5.0,9,1,0,50,0
24239,Technology,region_7,Bachelor's,m,other,1,27,1.0,1,1,0,93,1
24240,Sales & Marketing,region_2,Bachelor's,f,other,1,46,1.0,10,0,0,49,0
24241,Operations,region_13,Bachelor's,m,other,1,46,2.0,7,0,0,58,0
24242,Finance,region_28,Below Secondary,f,other,1,26,1.0,1,0,0,61,0
24243,Operations,region_2,Bachelor's,m,other,1,34,4.0,10,0,0,60,0
24244,Sales & Marketing,region_26,Bachelor's,m,other,1,31,4.0,7,1,0,49,0
24245,Procurement,region_2,Master's & above,m,referred,1,41,3.0,7,1,0,68,0
24246,HR,region_2,Bachelor's,f,other,1,30,3.0,2,0,0,46,0
24247,Procurement,region_2,Bachelor's,m,other,1,27,2.0,1,0,0,70,0
24248,Sales & Marketing,region_8,Bachelor's,f,sourcing,1,27,3.0,2,0,0,50,0
24249,Technology,region_2,Bachelor's,m,other,1,51,3.0,20,0,0,76,0
24250,Operations,region_29,Bachelor's,m,other,1,32,2.0,8,0,0,56,0
24251,Sales & Marketing,region_15,Bachelor's,m,other,1,44,3.0,14,0,0,49,0
24252,Technology,region_7,Bachelor's,m,referred,1,28,3.0,4,0,0,78,0
24253,Analytics,region_22,Bachelor's,m,sourcing,2,27,1.0,3,0,0,80,0
24254,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,39,3.0,9,0,0,52,0
24255,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,48,3.0,9,0,0,50,0
24256,Sales & Marketing,region_5,Bachelor's,m,sourcing,1,25,4.0,2,0,0,47,0
24257,Finance,region_28,Master's & above,f,sourcing,1,33,4.0,3,0,0,66,0
24258,Sales & Marketing,region_1,Bachelor's,m,sourcing,2,28,1.0,4,0,0,52,0
24259,Procurement,region_13,Master's & above,f,other,3,30,3.0,3,0,0,65,0
24260,R&D,region_2,Master's & above,m,sourcing,5,42,3.0,7,0,0,90,0
24261,Operations,region_20,Bachelor's,f,sourcing,1,27,3.0,4,0,0,60,0
24262,Sales & Marketing,region_17,Bachelor's,m,other,2,36,4.0,8,1,0,50,0
24263,Sales & Marketing,region_14,Bachelor's,m,sourcing,2,25,1.0,1,1,0,53,0
24264,Procurement,region_26,Master's & above,m,sourcing,1,34,3.0,4,1,0,67,0
24265,Analytics,region_2,Bachelor's,m,other,1,49,4.0,10,1,0,85,0
24266,Sales & Marketing,region_21,Master's & above,m,other,2,31,3.0,4,0,0,51,0
24267,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,37,5.0,8,0,0,53,0
24268,Sales & Marketing,region_15,Bachelor's,f,other,1,32,4.0,6,0,1,50,0
24269,Sales & Marketing,region_14,Master's & above,m,sourcing,1,36,3.0,4,0,0,51,0
24270,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,46,3.0,4,0,0,49,0
24271,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,28,3.0,3,1,0,48,1
24272,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,40,3.0,9,0,0,48,0
24273,Legal,region_2,Bachelor's,m,other,1,32,1.0,3,0,0,54,0
24274,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,37,5.0,7,1,0,53,0
24275,Sales & Marketing,region_7,Master's & above,m,other,1,37,2.0,9,0,0,46,0
24276,Procurement,region_23,Master's & above,f,sourcing,1,34,3.0,9,1,0,68,0
24277,Procurement,region_2,Below Secondary,m,other,2,25,1.0,1,0,0,71,0
24278,Finance,region_26,Bachelor's,f,other,1,28,1.0,1,1,0,59,0
24279,Sales & Marketing,region_2,Master's & above,m,other,1,32,5.0,6,0,0,48,0
24280,Legal,region_5,Bachelor's,m,sourcing,1,32,1.0,1,0,0,62,0
24281,Analytics,region_2,Bachelor's,m,sourcing,1,45,5.0,15,0,0,88,0
24282,Sales & Marketing,region_5,Bachelor's,m,other,1,33,3.0,10,0,0,52,0
24283,Legal,region_7,Bachelor's,m,other,1,36,4.0,5,1,0,57,0
24284,Procurement,region_23,Bachelor's,m,sourcing,1,33,4.0,9,1,0,69,0
24285,Operations,region_15,Master's & above,m,sourcing,1,44,4.0,5,0,0,59,0
24286,Sales & Marketing,region_1,Bachelor's,m,other,1,36,4.0,3,1,0,49,0
24287,Operations,region_2,Below Secondary,f,sourcing,1,21,1.0,1,0,0,62,0
24288,Sales & Marketing,region_2,Master's & above,f,other,1,39,3.0,8,0,0,48,0
24289,Sales & Marketing,region_31,Bachelor's,m,sourcing,1,29,2.0,4,0,0,53,0
24290,Analytics,region_25,Bachelor's,m,sourcing,2,30,4.0,4,0,0,83,0
24291,Operations,region_15,Bachelor's,m,sourcing,1,34,4.0,5,1,0,64,0
24292,Sales & Marketing,region_4,Master's & above,f,sourcing,1,35,1.0,10,0,0,48,0
24293,Procurement,region_34,Master's & above,m,other,1,40,3.0,6,1,0,68,0
24294,Operations,region_8,Bachelor's,m,sourcing,1,30,5.0,8,1,0,58,0
24295,Technology,region_5,Bachelor's,f,other,1,25,5.0,3,1,0,74,0
24296,Operations,region_2,Bachelor's,f,other,2,40,3.0,7,1,0,56,0
24297,Sales & Marketing,region_7,Bachelor's,m,sourcing,2,30,4.0,2,0,0,47,0
